s,t,s1,s2,s3,s4,t1,t2,t3,t4
9724,1234,23,0,0,1,1,1,0,0
3937,1592,48,0,0,1,1,0,0,0
8918,3980,114,3,0,13,22,0,0,0
13522,2441,1,0,0,0,1,0,0,0
898,4705,14,0,2,0,1,0,0,1
8029,16531,75,0,0,1,5,0,0,0
17320,8934,1,0,0,0,3,0,0,0
10131,11751,1,0,0,0,1,0,0,0
3650,10409,1,0,0,0,2,0,0,0
1804,901,10,1,3,0,1,0,1,0
13481,3258,2,1,0,0,1,0,0,0
13954,9332,92,0,5,7,1,0,0,0
14971,16013,35,0,3,1,17,0,1,0
12752,14578,2,0,0,0,2,0,0,0
7240,5587,1,0,0,0,1,0,0,0
8956,14624,2,0,0,0,1,0,0,0
13862,1514,29,1,1,1,4,0,0,0
16486,8232,18,0,6,0,7,0,0,0
16152,3104,3,0,0,3,1,0,0,0
4427,1694,1,0,0,0,5,0,0,0
799,4040,1,0,0,0,2,0,1,0
12349,14614,1,1,1,0,8,22,11,10
13862,1573,29,1,1,1,2,0,1,0
15944,13598,1,0,0,0,1,0,0,0
9886,12410,2,0,0,0,1,0,0,0
15937,2145,1,0,0,0,2,0,0,0
1882,14846,6,0,0,4,2,0,4,2
14965,15692,4,3,3,2,1,0,0,0
3969,13762,8,0,0,0,19,0,6,1
1146,12197,62,0,10,2,2,0,0,0
811,17450,2,0,0,0,3,0,2,0
15152,11946,10,0,0,0,1,0,0,0
10100,14767,1,0,0,0,1,0,0,0
10631,15339,7,0,0,1,1,1,1,22
11605,5920,2,6,0,2,8,0,1,0
12142,14056,1,0,0,0,5,0,0,3
10456,4388,45,0,0,0,18,0,0,1
3451,16164,1,0,0,0,3,0,0,0
6335,5,20,0,30,0,27,0,2,0
5188,2949,18,0,0,0,22,0,1,0
2612,2229,5,0,1,2,7,0,1,1
13350,132,38,0,1,3,2,0,0,0
14368,1265,85,1,1,2,27,1,6,1
16174,11210,18,0,0,2,16,0,4,6
12956,10856,3,0,0,0,2,0,0,0
12135,204,17,7,17,1,1,0,0,0
